Date,Alex Haley,Alice Walker,Ann Petry,Barbara Neely,Charles Chesnutt,Charles R. Johnson,Chester Himes,Claude McKay,Colson Whitehead,David Bradley,Edward P. Jones,Edwidge Danticat,Ernest J. Gaines,Gayl Jones,George Schuyler,Gloria Naylor,Gwendolyn Brooks,Henry Dumas,Ishmael Reed,Jacqueline Woodson,James Baldwin,James Weldon Johnson,Jean Toomer,Jesmyn Ward,John A. Williams,John Oliver Killens,Langston Hughes,Margaret Walker,Marlon James,Nalo Hopkinson,Nella Larsen,Octavia E. Butler,Paul Beatty,Paul Laurence Dunbar,Paule Marshall,Pauline Hopkins,Ralph Ellison,Richard Wright,Rudolph Fisher,Sister Souljah,Suzan-Lori Parks,Tayari Jones,Terry McMillan,Toni Cade Bambara,Toni Morrison,W.E.B. Bois,Walter Mosley,Zora Neale Hurston
6/1/2021,16229,36564,995,512,75,1002,3066,5079,24050,222,1386,2278,1736,917,1857,1098,5698,867,5219,4284,126017,10650,2467,4232,5,370,40065,1194,98,1775,3373,39446,2802,7418,618,533,17850,14540,458,7005,2295,2009,4932,1938,60746,25,7548,21936
7/1/2021,16554,39687,1067,558,53,1195,3988,4578,59072,165,1280,3176,1680,877,1956,1361,4602,765,9222,3570,85929,18059,2086,4453,5,575,40913,1464,58,1950,5852,33626,3036,5239,697,446,11800,14669,347,7562,2391,2035,4166,1724,58060,25,7040,21377
8/1/2021,22795,37051,1157,679,59,850,3002,4452,20858,216,1592,2664,1813,1210,1731,1326,5198,739,4246,4495,91269,5939,1836,3933,2,621,36612,1077,76,1382,3745,33726,2865,5552,729,537,10690,12853,395,9165,2373,1861,4166,2025,61519,37,6868,19578
9/1/2021,15234,35944,1019,527,68,877,3556,5805,54213,190,1564,3141,2071,14137,1476,1348,8316,789,3366,4795,70855,10834,2382,3826,8,410,57410,1244,80,1323,13028,31440,2946,6510,610,618,10917,14268,530,7305,3014,1895,4754,2691,57095,30,15287,26094
10/1/2021,15452,39119,1389,460,67,881,3234,6705,33328,232,1347,3028,1919,3630,1509,1245,7401,829,3211,4600,108344,7243,2673,4127,13,333,55318,1165,55,1443,16956,30991,2842,6397,645,869,12974,14486,546,6609,3594,2151,5004,2850,90039,35,7927,25443
11/1/2021,14037,34178,972,288,85,1188,2681,6014,20819,257,1450,2650,1991,1445,1309,1007,8013,936,2939,4235,83644,7675,2878,3787,12,308,51656,1272,113,1378,54522,26959,2711,5855,661,752,11748,12861,694,9349,3142,1514,3435,2396,80133,30,6772,23783
12/1/2021,17613,34697,770,277,67,887,2773,5329,24948,170,1154,2263,1691,1342,1308,1202,7786,819,2991,3833,71687,5989,2412,3515,11,287,43343,1082,79,1235,16674,27651,2406,5238,620,456,10121,12105,542,8162,2386,1367,3319,2056,66073,15,5847,22362
1/1/2022,20248,37795,1021,378,75,983,2918,7276,25514,198,1430,2880,2270,1323,1907,1610,9660,809,3655,6456,92244,9015,3022,4025,7,456,52249,1525,130,1391,13719,31612,3133,7160,737,654,12459,15109,823,9377,2574,1825,3672,2353,72514,33,9246,39108
2/1/2022,30514,54535,1382,387,83,1584,3405,11609,20224,279,1721,3005,2657,1200,3907,1420,16527,946,4862,8500,128550,21952,4147,5010,8,516,97255,2088,293,1528,10341,40096,2942,13855,709,960,16694,20314,3164,7340,3340,2343,4599,3132,105751,54,13289,58274
3/1/2022,1342,3026,74,26,12,84,234,781,1325,22,87,338,149,100,150,108,1053,40,210,558,6775,984,260,312,0,16,5249,109,25,90,566,2535,191,601,60,48,1513,1167,127,752,215,151,360,209,5167,3,1312,3282
