author,views
Edward P. Jones,46.2
Edward P. Jones,41.3
Edward P. Jones,51.4
Edward P. Jones,52.1
Edward P. Jones,43.5
Edward P. Jones,48.3
Edward P. Jones,37.2
Edward P. Jones,46.1
Edward P. Jones,61.5
Edward P. Jones,43.5
Edwidge Danticat,107.1
Edwidge Danticat,105.4
Edwidge Danticat,155.7
Edwidge Danticat,164.1
Edwidge Danticat,138.4
Edwidge Danticat,126.9
Edwidge Danticat,116.6
Edwidge Danticat,167.8
Edwidge Danticat,145.7
Edwidge Danticat,133.5
Edwidge Danticat,121.0
Edwidge Danticat,92.6
Edwidge Danticat,80.6
Edwidge Danticat,97.7
Edwidge Danticat,149.5
Edwidge Danticat,147.3
Edwidge Danticat,124.8
Edwidge Danticat,100.0
Edwidge Danticat,114.9
Edwidge Danticat,163.0
Edwidge Danticat,137.0
Edwidge Danticat,135.6
Edwidge Danticat,118.0
Edwidge Danticat,93.2
Edwidge Danticat,99.6
Edwidge Danticat,97.5
Edwidge Danticat,167.8
Edwidge Danticat,141.8
Edwidge Danticat,153.6
Edwidge Danticat,122.6
Edwidge Danticat,196.6
Edwidge Danticat,156.7
Edwidge Danticat,146.5
Edwidge Danticat,154.9
Edwidge Danticat,160.6
Edwidge Danticat,107.3
Edwidge Danticat,95.6
Edwidge Danticat,103.2
Edwidge Danticat,140.8
Edwidge Danticat,117.9
Edwidge Danticat,115.8
Edwidge Danticat,95.3
Edwidge Danticat,127.9
Edwidge Danticat,133.6
Edwidge Danticat,124.2
Edwidge Danticat,122.1
Edwidge Danticat,109.2
Edwidge Danticat,83.9
Edwidge Danticat,85.9
Edwidge Danticat,135.4
Edwidge Danticat,164.7
Edwidge Danticat,135.5
Edwidge Danticat,138.0
Edwidge Danticat,99.2
Edwidge Danticat,132.2
Edwidge Danticat,152.9
Edwidge Danticat,118.8
Edwidge Danticat,143.2
Edwidge Danticat,124.7
Edwidge Danticat,143.4
Edwidge Danticat,132.3
Edwidge Danticat,144.3
Edwidge Danticat,158.5
Edwidge Danticat,140.4
Edwidge Danticat,149.9
Edwidge Danticat,104.6
Edwidge Danticat,124.7
Edwidge Danticat,160.4
Edwidge Danticat,128.9
Edwidge Danticat,118.9
